product_id,genres,year
garmin-forerunner-965-day-silicone,Affordable|Versatile,2026
zenbos-k-200,Well-designed|Reliable|Versatile|Durable,2023
casio-mtp-v004g-7budf-nam,Versatile|Powerful,2021
elio-es132-03-nu,Compact|Versatile,2020
laser-trang-den-hp-laserjet-mfp-m236sdw-9yg09a,High-quality|Modern|User-friendly,2020
casio-aeq-110w-1avdf-den?utm_flashsale=1,Powerful|Versatile|User-friendly,2026
citizen-eg7055-51e-nu?utm_flashsale=1,Versatile|Well-designed,2020
acer-nitro-v-15-anv15-41-r2up-r5-nhqpgsv004,Durable,2020
nokia-110-4g-pro,High-quality|Well-designed|Reliable,2023
smile-kid-sl124-03-tre-em,Well-designed|Versatile,2020
q-q-m123j001y-nam?utm_flashsale=1,Reliable|Powerful,2024
mww-ml043-01-nam?utm_flashsale=1,Reliable,2020
elio-el022-c2-nu,High-quality|Reliable|Powerful,2022
cap-type-c-type-c-2m-baseus-glimmer-cb000025,High-quality|Modern|Durable,2020
tai-nghe-co-day-ep-ava-livebass-e1,High-quality|Well-designed|Compact,2026
q-q-c11a-015py-nu,Reliable|Powerful,2024
elio-el103-01-nu?utm_flashsale=1,High-quality|Durable|Affordable|Compact,2022
loa-bluetooth-jbl-go-4?utm_flashsale=1,Well-designed,2026
elio-es040-01-nu,Versatile|Durable,2023
mvw-ml036-01-nam?utm_flashsale=1,Affordable|Powerful,2026
elio-el100-02-nu?utm_flashsale=1,Affordable,2020
loa-keo-karaoke-nanomax-s-820-400w,Powerful|Affordable,2021
loa-karaoke-nanomax-s-5000,Modern|Versatile|User-friendly,2026
tai-nghe-bluetooth-open-ear-tws-ava-freego-ows02?utm_flashsale=1,Modern|User-friendly|Versatile,2026
acer-aspire-5-a515-58gm-51lb-i5-nxkq4sv002,High-quality|Versatile|Modern|Compact,2025
samsung-galaxy-a56,Reliable|User-friendly,2026
casio-mtp-1374d-1avdf-nam,Affordable|Reliable,2024
q-q-s397j212y-nu?utm_flashsale=1,Modern|Affordable,2022
elio-el006-01-nu?utm_flashsale=1,Modern|Durable|Reliable|Powerful,2024
elio-ess11-02-unisex,Compact|Durable|Versatile,2021
cap-micro-2m-xmobile-dr-m03,Durable|Well-designed,2021
dalton-ts-18g850x,Modern|Powerful,2025
oppo-reno12-f-5g-12gb-256gb,Powerful|Modern,2020
casio-la680wa-7df-bac,Reliable,2023
camera-ip-360-do-4mp-ezviz-h6c-pro?utm_flashsale=1,User-friendly|Durable|Reliable,2023
tai-nghe-bluetooth-true-wireless-rezo-air-5-deluxe-anc?utm_flashsale=1,Powerful|Durable|Affordable,2020
bo-adapter-sac-kem-cap-type-c-type-c-pd-45w-samsung-ep-t4510x,Modern|Versatile,2024
loa-thanh-samsung-hw-c450-xv,Compact|Affordable|Durable,2024
huawei-watch-fit-4?utm_flashsale=1,Well-designed,2026
tai-nghe-bluetooth-soundpeats-free-2-classic,Well-designed,2024
ep-gaming-asus-rog-cetra-ii-core-den,Modern|High-quality|Compact,2020
pin-sac-du-phong-20000mah-type-c-pd-qc-3-0-22-5w-xmobile-ym-672-den,Well-designed|Powerful|High-quality|User-friendly,2023
casio-mtp-vt01gl-1b2udf-nam,Affordable|Versatile|Reliable,2025
tai-nghe-bluetooth-true-wireless-soundcore-r50i-a3959?utm_flashsale=1,Reliable|Well-designed|User-friendly,2024
loa-bluetooth-rezo-play-pro,Modern|Well-designed|Durable|High-quality,2022
day-rz31-00a-da-nau-cam,Modern|High-quality|Powerful,2026
loa-bluetooth-monster-superstar-s320,Powerful|Well-designed|Compact|High-quality,2026
cap-type-c-lightning-mfi-0-9m-anker-322-a81b5?utm_flashsale=1,Reliable,2023
elio-es123-02-nu?utm_flashsale=1,Affordable|User-friendly|Powerful|Durable,2020
day-dong-ho-size-44mm-m01-03-44,User-friendly|Affordable,2024
day-mvw-sl100-02-da-xanh-ngoc,Modern|High-quality,2024
mykid-4g-lite,Modern|High-quality,2026
g-shock-gm-2100-1adr-nam,Durable|High-quality|User-friendly,2020
chuot-khong-day-gaming-asus-tuf-m4-wl,Powerful|Affordable,2024
cap-micro-20cm-ava-hku601,Well-designed,2026
elio-el123-02-nu?utm_flashsale=1,Reliable,2022
elio-es064-02-nu,Affordable|User-friendly|Compact|High-quality,2023
baseus-comet-pro-30w-comet-pro-e0027y-kem-cap-lightning-va-type-c,Reliable|High-quality|Modern,2024
samsung-galaxy-s25-ultra,Powerful|Versatile|Affordable,2026
